Trial,stance_freq,swing_freq,a_param,lambda_cpl,A_front,A_back,A_hip,Time_Duration,Straight_line_distance,Average_Forward_Speed,Average_Lateral_Deviation,Total_Energy_Consumed,Cost_of_Transport,Total_COM_Displacement,Average_Frequency
14,1.726343633,4.682059943,7.165233359,0.911029083,1.231796682,0.563017505,1.053456686,20,0.042549105,-0.002122527,0.014991878,30.55365489,81.3006432,0.042549105,2.674177232
15,5.900962522,1.774918105,14.7596265,0.615458502,1.481726346,0.507089014,0.465359972,20,0.477261889,0.023027911,0.035999326,27.03420366,6.413248452,0.477261889,2.849750326
16,4.494450013,5.158953502,18.62937124,0.353710092,0.307968456,0.739369695,0.17380197,20,0.102796589,0.004975755,0.028494554,10.96755336,12.07959269,0.102796589,4.807300763
17,5.530229685,0.530396053,6.759617215,0.430223596,0.430216839,0.338571503,0.229138529,20,0.053139254,0.001636569,0.012793458,2.210531515,4.709800337,0.053139254,1.235235579
18,3.051217959,1.810571867,16.07894231,0.175199789,1.145789084,0.011990731,1.783082987,20,0.122800398,0.006070832,0.00566173,45.14922778,41.62668166,0.122800398,2.279798561
19,2.503607391,3.73145665,8.869133353,0.014281614,1.112140938,1.15875623,1.294505565,20,0.033690412,0.001677018,0.039276457,52.41579993,176.1477641,0.033690412,3.019229069
20,3.979120205,4.31151647,16.80507256,0.209778253,1.460791144,0.988736122,0.832493503,20,0.379871452,-0.00698805,0.139684578,59.34928756,17.68887008,0.379871452,4.133990514
21,1.519081254,1.466930664,12.33357166,0.326759374,0.071210305,0.917073567,0.323529046,20,0.085222292,0.003674829,0.025166385,7.174918478,9.532021237,0.085222292,1.491654352
22,4.944021169,0.732055125,13.887442,0.648789452,0.337537744,0.65826541,0.572322359,20,0.030658787,-0.001511023,0.006207523,5.891148382,21.75535782,0.030658787,1.430577408
23,1.266368512,3.023057004,12.50009849,0.695212102,1.697513485,1.607919965,1.263131355,20,0.344554081,0.013430893,0.10237955,55.90912857,18.37158238,0.344554081,1.920681505
24,2.282341369,0.96521773,8.116084869,0.802078966,0.897447454,1.999402235,0.662383312,20,0.211539206,0.010358602,0.017952295,29.66756194,15.8786007,0.211539206,1.480552112
25,0.516859615,5.230539206,9.881616539,0.977695414,1.372979477,1.715656321,1.553074059,20,0.086688415,0.003410605,0.025424698,28.53031934,37.26205553,0.086688415,1.140944673
26,2.138348649,2.92562381,14.11734485,0.750160003,0.147738763,1.765579965,1.656001889,20,0.111187936,0.004421752,0.084573768,59.40207611,60.48743892,0.111187936,2.473365476
27,3.311260435,4.425446987,10.71754108,0.934506148,1.066590106,1.110642236,1.415396656,20,0.407473553,0.017886102,0.063513682,58.36924238,16.21832017,0.407473553,3.806646103
28,4.262769808,0.087804271,11.66812848,0.370785637,0.554429904,1.230184763,1.362502102,20,0.007180678,-0.000337649,0.00028251,0.079501186,,0.007180678,0.087839516
29,5.266724615,3.335217561,17.1652824,0.712833056,1.947605947,1.567984991,0.998199423,20,0.875290427,0.02699993,0.209115582,98.59415124,12.75323063,0.875290427,4.117930855
30,4.092615687,2.428462341,18.1799905,0.045217585,0.507270081,0.176228566,0.685406205,20,0.051416513,-0.002568615,0.002251538,8.838920801,19.46336195,0.051416513,3.064258445
31,3.411388779,2.897734489,9.511878147,0.063972133,1.226176278,0.441567561,0.813206586,20,0.104620206,0.005114779,0.016802206,26.67130671,28.86356429,0.104620206,3.130628467
32,4.765094437,4.625672945,15.2280293,0.169926164,0.968189765,1.571300248,1.547403552,20,0.282284369,0.01305528,0.080803794,83.58295527,33.52371434,0.282284369,4.695360221
